id	word1	word2	headline
1	optimista	mentalidad	- ¡Rápido, necesitamos sangre! - Yo soy 0 positivo. - Pues muy mal, necesitamos una mentalidad optimista.
2	mundial	guay	- ¿Cuál es el mejor portero del mundial?  - Evidente ¡el de Para-guay!
3	donación	garrafa	El otro día unas chicas llamarón a mi puerta y me pidieron una pequeña donación para una piscina local.  Les di un garrafa de agua.
4	planeta	andresito	- Andresito, ¿qué planeta va después de Marte?  - Miércole, señorita.
5	bob	esponja	- ¿Por qué Bob Esponja no va al gimnasio?  - Porque ya está cuadrado.
6	ciegos	lloviera	Van dos ciegos y le dice uno al otro:  - Ojalá lloviera...  - Ojalá yo también...
7	canarias	atropellada	Noticia de última hora!!   Muere una suegra atropellada en Canarias.   Y esto es todo, las 8 en España y UNA menos en Canarias...
8	sillas	dicen	– Mamá, mamá, en el colegio dicen que estoy loco. – ¿Y quién dice eso de ti? – ...Me lo dicen las sillas...
9	bocata	túrk	– Mamá, mamá, ¿me haces un bocata de jamón? – ¿York? – Sí, túrk.
10	expulsan	perdiendo	- Qué pasa si te expulsan de cuatro univerdades? - .... - Que estás perdiendo facultades
11	bello	durmiente	- Qué es un pelo en una cama? - ... - El bello durmiente
12	cocina	techo	- Qué le dice el techo del comedor al techo de la cocina? - .... - Te hecho de menos!
13	privada	escuela	- Qué pasa si se va la luz en una escuela privada? - .... - No se ve ni un pijo!
14	prohíben	tacos	- En qué se convierte un país en el que se prohíben los tacos? - ....  - En un país destacado!
15	messi	mes	- Qué es Messi en 45 días? - ........ - Mes y medio!
16	esfera	cubanos	- Qué pasaría si el mundo en lugar de ser una esfera fuera un cubo? - .... - Pues que todos seríamos cubanos
17	sano	saludo	- Soy una persona muy saludable. - ¿Haces mucho deporte y comes sano? - No. Es que la gente me saluda por la calle y yo... pues les devuelvo el saludo.
18	hamsterdam	hamster	- Que hamster más bonito - Si se llama Sam - ¿Y dónde lo compraste? - En Hamsterdam
19	detesto	empezado	- Te detesto. - K de kilo. - ¿Qué dices? - No sé... has empezado tú.
20	portugal	soporto	- No tienes ni idea de lo que soporto - Una ciudad de Portugal
22	abecedario	abecedarioz	- ¿Cuál es la última letra del abecedario? - La “O”. - ¿No es la “Z”? - ¡No hombre! Si no sería abecedarioz.
23	favorito	demorado	- Señora, disculpe pero su vuelo viene demorado. - ¡Ay, que emoción, es mi color favorito!
24	tradicional	acusado	– ¿Cómo se declara el acusado? – Con flores y arrodillado, la verdad juez, soy un hombre bastante tradicional…
25	mensajera	exagero	Se encuentran dos amigos: – ¿Sabes? Hoy me he comprado una paloma que cuesta diez mil euros. – ¿Mensajera? – No no, no te exagero
26	chinchero	chinche	- ¿Que le dice un chinche a otro chinche? - Te voy a ser chinchero, yo te quiero
27	almorsamos	morsa	- ¿Qué le dice una morsa a otra morsa? - ¿Almorsamos o qué?
28	honestidad	librería	"- Estoy leyendo un libro nuevo que se llama ""La honestidad y otros valores""  - Que bueno, ¿dónde lo compraste?  - Lo robé de la librería de la esquina"
29	desearía	ancha	- Mamá, soy fea?  - No hija, tienes lo que todo hombre desearía para si.  - En serio?  - Si, tienes voz gruesa, espalda ancha y pelos en el pecho.
30	risas	dimos	Todo era risas hasta que nos dimos cuenta que el tartamudo quería JAMÓN
31	panadería	tonto	Un hombre entra en una panadería… -¿Tiene usted pan de ayer? -Sí -Pues no haber hecho tanto, tonto. …Y se va
32	manzana	esperando	Una pera esperando el autobús. Llega una manzana y le pregunta: - ¿Hace mucho que espera? - Toda la vida.
33	enseñarás	vendrás	- Papá, papá ¿vendrás a mi graduación? - No, hijo. Cuando llegues a casa ya me enseñarás tus gafas nuevas.
34	comisaría	robó	Entra un borracho en una comisaría:  - ¿Podría ver al hombre que robó ayer en mi casa?  - ¿Y para qué lo quiere ver?  - Para saber cómo entró sin despertar a mi mujer.
35	why	saberlo	- Que significa WHY en inglés? - Por qué. - Por saberlo
36	enamorar	conseguiré	- No sé si conseguiré enamorar a esa chica... - ¿Tienes vacas y ovejas? - Sí. - Pues ya tienes mucho ganado.
37	estudiao	sintaxis	- Papá, que significa sintaxis - Que tienes que coger el autobús - Gracias papá, eres genial - Uno que ha estudiao
38	tinder	sara	Una cita por Tinder, todo son nervios: - Hola, soy Antonio - Hola... soy Sara... Vaya, si eres vizco - No, lo que pasa es que tengo un ojo tan bonito que el otro se lo queda mirando
39	respirar	básicamente	-¿A qué te dedicas? - Básicamente a respirar. No gano mucho, pero me da para vivir.
41	cero	matemáticas	Jaimito ¿cómo te ha salido el examen de Matemáticas? - Pues más o menos como a los del Polo Norte - ¿Cómo a los del Polo Norte? ¿Qué quieres decir? - De cero para bajo mamá, de cero para bajo!
