id	word1	word2	language	headline
zh_0101	喷洒	椅子	zh	"老板：小李啊！今天怎么迟到了？
我：昨天回家路上捡到一张50块的钞票。老板：这有什么？那叫幸运。
我：不是啦。。。是……我是说这张纸币背面印着“请勿坐”三个字...
老板：哦~ 哦... 这个牌子我没见过，你去网上搜一下，看看是不是哪家家具厂弄出来的。
我：“不... 不是我坐在上面了，而是...... 我拿它当香水瓶喷了一次。”
老板（一脸懵逼）: “啥？”
我：没。。没事.. 是我喝多了，把那个东西当成香水瓶子了.... 您看现在您面前的这个"
zh_0102	锤击	香蕉	zh	"有一天，有个小孩拿着一根香蕉走进教室：“老师您看！我爸爸说给我买了一个苹果！”老师看着那根金灿灿的“大棒槌”，疑惑地说，“你这到底是啥？”孩子得意洋洋地回道： “就是……是给我的‘小手’做的护具啊。”全班哄堂大笑。下课了之后，这位同学跑到办公室跟班主任诉苦: ""哎呀老师！我都多大的人啦？哪有这么幼稚的事儿~” 哈哈，原来是个不小心把锤子拿反了的小插曲呢。。。"
zh_0103	移动	冰箱	zh	"在一个炎热的夏日午后，小张正在家里休息。此时他的手机响了。“喂？你好。”“哦...是你呀…你不知道吗？我现在要结婚！”电话那头传来一个急促而略带兴奋的声音。
“什么？谁说？”小张疑惑地问道。
对方却回答道：“我啊！还有就是你老婆…”
“啥？！！”小张激动得差点跳起来，“怎么会这样？她什么时候这么跟我说过这事儿？为什么我没收到任何邀请呢……”
这时他听到客厅方向传来了开门声，并且还有一阵吵闹。紧接着一阵人影晃进了房间。 “亲爱的！今天是咱们两人的大日子哟！快跟我一起收拾一下出发"
zh_0104	锤击	南瓜	zh	"嘿！听说你家新买了一个锤子？我有事想请你帮我个忙。行不行呀？

当然可以啦，说吧。

好嘞，这事儿啊简单着呢。你看我家阳台有个南瓜，它最近有点发霉了，我想把它砸烂给埋掉，能帮忙吗？

没问题啊，给你搬上楼梯也挺简单的。可是你这意思……是要把南瓜给我扔下去吗？你真舍得丢啊……

对的，你说得没错。是这样：我要把它砸碎然后扔到楼下。但是你知道的，咱们小区物业对我们要求很严格，他们禁止乱扔东西。所以啊，你要不介意的话，能不能站在下面用脚去接住"
zh_0105	剥皮	南瓜	zh	"老婆：“今天晚上吃啥？”我说：“随便！”她就问：“你想要吃什么？别跟我说你想吃肉。”我有点儿不好意思地说，“那要不咱俩一起剥个‘瓜’吧”。“什么瓜呀？”“就是那个长在地里的。我们先分着一半……然后你就说我不行了...然后我就把你扶进屋里去......啊哈哈哈…” 吃完晚饭的时候看到女儿拿着一块小号勺子站在一旁哭闹喊爸爸。。。于是我对老婆说道： “怎么啦孩子他妈，这会儿有空陪陪你闺女呢？”。 妻子很生气的回答道: ""没见我在剥南瓜吗?你这个当爹的男人哪去了??"
zh_0106	微波炉	书	zh	"在一个风和日丽的下午，小李正坐在沙发上享受着阳光与舒适。他手中拿着一本《三体》正在津津有味地读着；旁边就是他的宝贝——一台全新的、时尚且高端的微波爐。

突然一阵急促的脚步声传来……“咚！”的一声响后，客厅门被重重关上。“砰”又是一下！然后又是脚步声在厅内回响，“哒”，“哒”。最后传来了敲打的声音……

这时手机响了：“喂？谁啊？”小李接起电话，“哎呀！我忘了带钥匙，能帮我开门吗？我在楼下。”是母亲的声音！

过了一会，听到门外响起一连串的“叮"
zh_0107	喷洒	门	zh	一天，我到朋友家去做客。刚一进屋我就大喊：“哎呀，快开门啊！”朋友惊讶地看着我说：“你这是什么破地方啊？还有门吗？”我哭笑不得道：“你没发现么……你这房子是密封的啊！”说完，我拿起一瓶香水，“啪”地一下打在了他脸上。这时我才看到，朋友手上拿着的是喷雾器……
zh_0108	测量	比萨	zh	"小明去一家新开的比萨店点餐。服务员问他：“您要点什么？”
小明明目结舌地说：“你这里有没有尺子？”
“额……”服务员有些诧异，“先生，这跟你要吃比萨有什么关系吗？”
只见小明挠了挠头说：“哦，抱歉……我想要一块12寸的比……”
“嗯？12个比萨？”服务员打断他的话。
“不是啊……”小明尴尬地一笑，“我想量一下这里的沙发到底有多宽。”
“……”服务生哭笑不得：“那你就直接问老板要一把尺子吧！”
这时，小明才恍然大悟似的拍了一下脑袋：“对"
zh_0109	拔掉插头	冰箱	zh	"顾客：老板你看一下这个电视。 拿过来一看这电器是好的！老板又看看冰箱。
老板：“怎么了？” 他说： “我家的电都停啦！” 老板说 ：“啊？你是让我帮你拿个东西吧。”他一想自己这么幽默也笑了起来 ，连忙说到: “哈哈……那个……是我老婆把‘电源’ 插座给拔掉了！！” 这时他刚说完，老板就说了句 : 哇塞 …… 然后他就跑了出去接水去了。。。。。 。 （老板以为他是要买插座） 结果回去问他老婆为什么没让老公帮她接个热水喝的时候 , 夫妻俩相互看了一眼"
zh_0110	称重	电话	zh	"有一天，一位女士走进了超市，径直走向电子秤。这时她遇到了她的丈夫。

丈夫：你干吗呢？去那边排长队买菜？

妻子：哎呀，亲爱的，别问这么傻的问题啊。我只是要过磅我的新手机，看看它的重量是多少克，因为我要送给女儿作为礼物。

丈夫无奈地说：“这手机的重量应该已经刻在包装盒上了啊。”

妻子说：“你说的是重量嘛！其实我是在想是不是该给我女儿换一换一下型号，毕竟现在流行起来的都是小重量的。就比如我这个苹果7Splus，它才256g左右，而小米10大概有439g重。” 这"
zh_0111	去籽	番茄	zh	"女：老公，你猜今天晚上我做了什么好吃的？
男：西红柿炒鸡蛋。
女：不是，是……
男：番茄牛腩？（没听清楚）
女：番茄鸡排！（终于说对了）不过有个要求，你得把鸡排上的种子去掉。"
zh_0112	喷洒	杯子	zh	有一条路叫做失败之路，在这条路上有一个人带着两只杯子在走。他拿着其中一只倒着的杯子里装满水准备去解渴时却一不小心倒在了地上...这时有人对他说：“你为什么不用你的另一个杯子接住它？”那人愣了一下然后说：“我早就把它丢到垃圾站去了。”（结束语：看来人生真的不能没有备用方案呢）
zh_0113	关闭	混合器	zh	"为什么说“混音”是音响师的最佳伴侣？

因为每当他想要关机时，“调制解调器”的反应总是那么强烈。"
zh_0114	锤击	番茄	zh	有一天，我问女友：“你最喜欢什么水果？”她想了想，说：“西红柿。”然后我就拿起一把锤子对准了她的脑袋。她说：”你干啥！“我说：”我想看看你的脑子里会不会流出血来。“她说： ”那你就试试吧！“于是我……哦不，于是她突然笑了出来，说：”这叫‘番茄’不是西红柿吗？你不会是喜欢打脸的人吧！”我尴尬的挠头，心想…哎，好在没砸到头，不然就是我的问题了。
zh_0115	混合	南瓜	zh	从前有一只可爱的小南瓜，它对妈妈说：“我真想变成一个人类啊！”“那你先学会做菜吧。”南瓜妈妈温柔地说道。“好！我一定做一个超级好吃的蛋炒饭给你尝尝！”小南瓜开心地答道。于是，小南瓜把自己切成了丁儿状；又把番茄切成了丝，胡萝卜也剁成泥。在锅里加了点油，放了个鸡蛋进去……“噗哧”一声，一串火花从锅子里窜出来，吓得小南瓜直往后退。这时它的妈妈走过来：“孩子，你把‘人’字给忘记了。”小南瓜顿时恍然大悟：“哦！原来要先混个脸熟呀
zh_0116	微波炉	笔记本电脑	zh	"Q：你知道微波电脑是什么？
A：不知道。
Q：就是你的电脑开着你忘了拔插头，然后被你扔进微波里了。但是微波不能加热电子元件，于是它就一直在那里“嗡嗡”地叫着……直到电力公司的电话打来：“喂？你们家的电脑又不老实？”"
zh_0117	钻孔	鸡蛋	zh	"在一次家庭聚会上，爸爸正在厨房里忙碌着做晚饭。小明看着爸爸熟练地切菜、炒菜，忍不住问：“爸，您怎么学得这么快啊？”
爸爸笑着说：“我呀，小时候家里穷，妈妈每天都会给我煮个鸡蛋吃，我就用筷子把蛋壳打一个小洞，然后用吸管对着洞吹气，让蛋黄流出。后来长大了，就发现这其实是一个很好的学习方法。”
小明惊讶道：“真的？那您是怎么做到的呢？”
这时，只见爸爸从冰箱里拿出一只生鸡蛋，拿起钻孔机，在鸡蛋上钻了一个小孔，又用另一只手拿着吸管对准小孔往里面"
zh_0118	剥皮	椰子	zh	"有一天，一位女士去参加聚会。她很喜欢吃水果，尤其是椰子。
主持人问：“各位朋友，谁喜欢吃椰子？”
女士回答道： “我！”
主持人又问道:“那么你最喜欢什么口味的呢？是甜味还是咸味的？”
女人答道：“我喜欢那种……特别甜的。”
这时，男主持人拿起了一颗椰子，在众目睽睽之下开始剥起了皮来，并且还一边说：“看我的表演吧，看看我是如何让这颗椰子里流下最甜蜜的味道的。”话音未落，就只见他一把扯掉了椰子外层的硬壳，然后将里面的椰肉直接塞进了嘴里。“哇啊～”"
zh_0119	切割	鞋	zh	"老婆：亲爱的，你看这双鞋。
老公：嗯？挺好啊！
老婆:那你觉得我能不能把这条线也剪了？
老公：哦？那你得告诉我为什么。要不你去问裁缝吧，他会告诉你怎么干的！
（老婆走后）老公自言自语：“哼，你个裁缝！”
然后突然发现：自己被老婆整去了理发店！"
zh_0120	称重	西瓜	zh	一位中年妇女来到秤台前：“我问你个问题，我要不要生？”女： “你要么就怀孕去吧。” 中年妇女指着旁边卖瓜的小贩说道:“看那个小伙子，人高马大，肯定很会吃苦耐劳。我就要他了……” 叔叔：“姑娘，这可不是买西瓜的地方啊，您这是要把人给买了呀！” 女子一脸无奈地说：“哎呦喂~ 今天早上没来得及上秤呢，现在才发现忘带卡了。”
zh_0121	锤击	冰箱	zh	"话说今天去了一家新开的火锅店，在门口排着队等上位。突然从旁边的工地传来“咚”的一声巨响！然后工地上立刻安静了……我正疑惑间听到老板娘大叫：“谁把我的冰柜给敲碎啦？！”这时只听一哥们儿答道，“我去买个菜。”原来这哥们刚下班回家路过这里就看到前面有人排队呢…于是心生邪念就把自己的保温箱往那放了几件吃的；随后又听见他媳妇喊了一声:你给我回来！！最后只见这个人拿着两块木板站在队伍里……

听完后大家都哈哈大笑起来，我也忍不住笑了：这位大哥真会说话啊~ 一边说着还"
zh_0122	打开	混合器	zh	有一天，小明在厨房里做实验：他把一桶冰水倒进冰箱冷冻室的门缝中。第二天早上看到冰冷的小纸条时，他说：“爸爸...我发现了宇宙未解之谜！”妈妈问什么？ 小明说:“为什么打不开这个冻住的冷藏箱？” 结果呢......因为里面装着个开瓶器混进去啦！ 惊喜吗~哈哈哈哈哈！
zh_0123	切割	椰子	zh	"老板：小王啊！你去把那个大大的椰子给我切开。
我：好的。可是……这个刀太大了呀…能不能换成菜板？
（话还没说完）
老板：啪嗒一声，拿起一把锋利的大厨刀就砍了过来！！
“嘭”地一下把我劈成了两半——然后他继续说：“快点！”"
zh_0124	测量	熏肉	zh	"有位朋友买了一块超嫩的五花肉回家准备做熏肉。他跟老婆说：“媳妇儿啊，今天我买了肥瘦相间的好吃的猪肉！”
　　“啥好吃的？”她问。
　　他说，“嗯……就是那个、那个可以烤来吃的东西。”妻子接着问道：
　　那你说是‘火腿肠’还是‘香肠呀？！这年头怎么连猪都分不清楚了呢！！”（意为：你到底买的什么）这位兄弟一脸懵逼地说了一句经典台词—— 丈二和尚摸不着头脑。。。 “妈蛋.. 好像不是...... 那个叫啥东西来着... 计算"
zh_0125	放下	冰箱	zh	有只猫在冰柜里放不下心来。于是它跳出来对冰箱说：“我决定不再对你抱有任何幻想了！”——“你为什么这么说？”“因为你的门锁着。”（开门见山）
